Ref,Val,Package,PosX,PosY,Rot,Side
"C111","100nF","C_0402",53.147314,11.042768,-90.000000,bottom
"F3","Fiducial","Fiducial_1mm_Mask2mm",33.340000,25.450000,180.000000,bottom
"F6","Fiducial","Fiducial_1mm_Mask2mm",5.200000,-1.780000,180.000000,bottom
"J9","2305018-2","TE_2305018-2_MountingHole_0.4mm",98.688000,7.410000,-90.000000,bottom
"QR2","Laser_QR_5x5","Laser_QR_5x5",11.360000,22.420000,180.000000,bottom
"C1","4.7uF/10V","C_0402",64.490000,17.230000,0.000000,top
"C2","4.7uF/10V","C_0402",64.690000,10.170000,0.000000,top
"C3","1uF","C_0402",75.340000,-1.310000,0.000000,top
"C4","10uF/10V","GRM188R61A106KE69D",79.030000,0.900000,0.000000,top
"C5","1uF/10V","C_0402",76.866273,11.504498,0.000000,top
"C6","1uF/10V","C_0402",76.870000,12.460000,0.000000,top
"C7","100nF","C_0402",75.300000,9.500000,90.000000,top
"C8","2.2uF/16V","C_0402",76.870000,13.420000,0.000000,top
"C9","100nF/10V","C_0402",76.125000,15.650000,0.000000,top
"C10","100nF/10V","C_0402",76.125000,16.600000,0.000000,top
"C11","1uF/10V","C_0402",64.690000,9.230000,0.000000,top
"C12","8pF","C_0402",74.225000,18.975000,90.000000,top
"C13","8pF","C_0402",72.575000,18.925000,90.000000,top
"C14","1uF/10V","C_0402",71.525000,17.275000,90.000000,top
"C15","4.7uF/10V","C_0402",70.550000,17.275000,90.000000,top
"C16","1uF/10V","C_0402",69.600000,17.275000,90.000000,top
"C17","1uF/10V","C_0402",72.400000,7.200000,-90.000000,top
"C18","4.7uF/10V","C_0402",67.180000,16.660000,90.000000,top
"C19","22uF/10V","GRM188R61A226ME15D",58.070000,4.740000,0.000000,top
"C20","8.2pF","C_0402",47.347314,14.792768,90.000000,top
"C21","1uF","C_0402",47.480000,7.470000,180.000000,top
"C22","1uF/10V","C_0402",68.550000,17.275000,90.000000,top
"C23","100nF","C_0402",5.646876,10.314226,180.000000,top
"C24","8.2pF","C_0402",47.347314,16.692768,-90.000000,top
"C25","100nF","C_0402",56.580000,18.750000,90.000000,top
"C26","12pF","C_0402",47.147314,12.292768,-90.000000,top
"C27","12pF","C_0402",43.347314,12.292768,90.000000,top
"C28","22uF/10V","GRM188R61A226ME15D",58.066718,1.090001,0.000000,top
"C29","100nF","C_0402",90.130000,1.450000,-90.000000,top
"C30","100nF","C_0402",47.500000,9.600000,0.000000,top
"C31","100nF","C_0402",47.490000,8.540000,0.000000,top
"C32","100nF","C_0402",49.490000,5.040000,0.000000,top
"C33","10uF/10V","GRM188R61A106KE69D",60.510000,2.910000,90.000000,top
"C34","6.8pF","C_0402",61.690000,0.500000,-90.000000,top
"C35","100nF","C_0402",65.300000,1.920000,0.000000,top
"C36","2.2uF","C_0402",59.847314,11.392768,180.000000,top
"C37","10uF/10V","GRM188R61A106KE69D",66.010000,3.240000,0.000000,top
"C38","330nF","C_0402",47.500000,10.660000,0.000000,top
"C39","2.2uF","C_0402",59.847314,10.392768,180.000000,top
"C40","100nF","C_0402",49.480000,4.000000,0.000000,top
"C41","1uF/10V","C_0402",64.290000,14.190000,180.000000,top
"C42","100nF","C_0402",92.540000,1.480000,-90.000000,top
"C43","2.2uF/16V","C_0402",64.000000,13.230000,180.000000,top
"C44","1.3pF/50V","C_0402",77.658000,14.840000,90.000000,top
"C45","100nF","C_0402",79.730000,-2.360000,0.000000,top
"C46","4.7uF/10V","C_0402",65.651512,13.229807,180.000000,top
"C47","0.6pF/50V","C_0402",81.670000,13.940000,-90.000000,top
"C48","1uF/10V","C_0402",74.200000,9.500000,-90.000000,top
"C49","1uF/25V","C_0603_1608Metric",9.238255,16.126149,90.000000,top
"C50","10uF/10V","C_0603_1608Metric",9.260000,13.090000,-90.000000,top
"C51","4.7uF/10V","C_0402",84.900000,9.000000,90.000000,top
"C52","4.7uF/10V","C_0402",84.900000,10.750000,-90.000000,top
"C53","1pF","C_0402",80.620000,13.940000,-90.000000,top
"C56","1uF/10V","C_0402",66.390000,10.180000,180.000000,top
"C57","1.3pF/50V","C_0402",82.970000,14.370000,0.000000,top
"C58","1pF","C_0402",81.358000,16.040000,90.000000,top
"C60","100nF","C_0402",61.490000,13.620000,90.000000,top
"C64","100nF","C_0402",61.130618,6.051146,0.000000,top
"C67","100nF","C_0402",8.910000,10.090000,90.000000,top
"C68","4.7uF/10V","C_0402",84.890000,4.800000,90.000000,top
"C69","4.7uF/10V","C_0402",84.868699,6.492101,-90.000000,top
"C75","10uF","C_0603_1608Metric",74.393364,3.379213,0.000000,top
"C76","100nF","C_0402",71.768364,4.479213,180.000000,top
"C78","1uF","C_0402",73.693364,4.679213,0.000000,top
"C80","1uF","C_0402",72.498364,1.279213,-90.000000,top
"C81","100nF","C_0402",56.580000,17.090000,90.000000,top
"C85","100nF","C_0402",64.490000,18.190000,0.000000,top
"C95","0.3pF","C_0402",82.358000,16.040000,90.000000,top
"C98","100nF","C_0402",65.960000,14.190000,180.000000,top
"C99","680pF/6.3V","C_0402",80.270000,4.230000,-90.000000,top
"C100","680pF/6.3V","C_0402",80.270000,5.990000,-90.000000,top
"C101","100nF","C_0402",51.090000,4.560000,90.000000,top
"C102","100nF","C_0402",73.980000,-1.940000,90.000000,top
"C103","100nF","C_0402",59.847314,9.392768,0.000000,top
"C104","680pF/6.3V","C_0402",80.490000,8.600000,-90.000000,top
"C105","680pF/6.3V","C_0402",80.250000,11.220000,90.000000,top
"C106","1uF/10V","C_0402",73.200000,9.500000,-90.000000,top
"D4","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",10.460000,16.631500,0.000000,top
"D5","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",3.901414,14.782118,180.000000,top
"D16","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",96.840000,7.770000,0.000000,top
"D20","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",92.700000,8.668500,0.000000,top
"D21","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",97.850000,4.700000,0.000000,top
"D22","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",93.220000,3.568500,0.000000,top
"D23","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",93.548000,10.500000,180.000000,top
"D24","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",93.558000,9.568500,0.000000,top
"D25","ESD_ST_ESDZV5H_1BU2","ESDZV5H-1BU2",93.450000,5.620000,0.000000,top
