"source ref des","source pad","net","net class","side","x","y","pad type","footprint side"
"J1","1","/RTL_MODE","Default","TOP",67.93,-1.55,"SMT","TOP"
"W59","1","/BT_BLE/AVCC_CODEC","Default","TOP",64.22,8.47,"SMT","TOP"
"W52","1","/RTL_GPIO1","Default","TOP",61.05,11.75,"SMT","TOP"
"W9","1","/~{BAT_CHG_INT}","Default","TOP",14.6348,14.8842,"SMT","TOP"
"W6","1","GND","Default","TOP",43.2816,9.66,"SMT","TOP"
"W11","1","/VUSB","Default","TOP",43.37,17.69,"SMT","TOP"
"J31","1","/IR_TX_R","Default","TOP",92.53,-1.58,"SMT","TOP"
"W29","1","/I2C4_M_SCL","Default","TOP",51.2,16.78,"SMT","TOP"
"W60","1","/BT_BLE/VD12_RF","RF","TOP",75.66,17.5,"SMT","TOP"
"W33","1","/RTL_SPI_CS","Default","TOP",61.55,8.63,"SMT","TOP"
"J19","1","/SWDCLK","Default","TOP",70.52,26.1,"SMT","TOP"
"W7","1","GND","Default","TOP",75.758,21.34,"SMT","TOP"
"W65","1","/BT_BLE/VDD_3V3","Default","TOP",68.575,16.15,"SMT","TOP"
"W15","1","/VDD_A","Default","TOP",57.42,-2.34,"SMT","TOP"
"W45","1","/RTL_LOGGER_PIN","Default","TOP",61.16,10.14,"SMT","TOP"
"W48","1","/RTL_HW_RST_N","Default","TOP",62.53,14.79,"SMT","TOP"
"W35","1","/RTL_SPI_MOSI","Default","TOP",68.28,9.73,"SMT","TOP"
"W50","1","/WakeUp_PB1","Default","TOP",76.55,1.19,"SMT","TOP"
"W20","1","/~{PG}","Default","TOP",5.25,16.96,"SMT","TOP"
"W55","1","/RTL_GPIO2","Default","TOP",69.9,7.3,"SMT","TOP"
"W12","1","/Battery Management/ISET_1","Default","TOP",7.2,19.3,"SMT","TOP"
"W5","1","GND","Default","TOP",67.06,22.65,"SMT","TOP"
"W14","1","/VDD_D","Default","TOP",52.92,4.05,"SMT","TOP"
"W31","1","GND","Default","TOP",89.28,-1.64,"SMT","TOP"
"W1","1","GND","Default","TOP",96.885,0.778,"SMT","TOP"
"W28","1","/RTL_SPI_CLK","Default","TOP",60.61,8.54,"SMT","TOP"
"W47","1","/RTL_UART_ST_RX","Default","TOP",68.3,7.1,"SMT","TOP"
"W8","1","/V3P0","Default","TOP",74.0934,1.6792,"SMT","TOP"
"W58","1","/RTL_SPI_M2S_GPIO","Default","TOP",72.3334,8.8131,"SMT","TOP"
"J7","1","GND","Default","TOP",69.64,-1.6,"SMT","TOP"
"W51","1","/RTL_SPI_S2M_GPIO","Default","TOP",71.5946,9.0581,"SMT","TOP"
"W63","1","/BT_BLE/VDDCORE","Default","TOP",62.65,16.58,"SMT","TOP"
"W19","1","/VBAT_MON","Default","TOP",59.0554,7.0269,"SMT","TOP"
"W46","1","/RTL_UART_ST_TX","Default","TOP",67.5474,9.0188,"SMT","TOP"
"J21","1","/nRST_TP","Default","TOP",73.36,26.1,"SMT","TOP"
"J20","1","/ST_SWDIO","Default","TOP",71.94,26.1,"SMT","TOP"
"J16","1","/DEBUG_TX","Default","TOP",67.68,26.1,"SMT","TOP"
"W61","1","/BT_BLE/AVCC","Default","TOP",77.32,10.61,"SMT","TOP"
"W22","1","/I2C4_M_SDA","Default","TOP",49.2166,17.5,"SMT","TOP"
"J301","1","/RTL_HCI_UART_TX","Default","TOP",69.1,26.1,"SMT","TOP"
"J5","1","/DEBUG_RX","Default","TOP",66.26,26.1,"SMT","TOP"
"J30","1","/IR_RX_L","Default","TOP",90.78,-1.58,"SMT","TOP"
"W18","1","/ACCL_INT1","Default","TOP",55.81,16.03,"SMT","TOP"
"J6","1","/Main Connector/~{PB1_10Sec}","Default","TOP",81.28,-1.73,"SMT","TOP"
"W57","1","/RTL_MFB_N","Default","TOP",82.16,1.41,"SMT","TOP"
"W34","1","/RTL_SPI_MISO","Default","TOP",66.4,8.5,"SMT","TOP"
"J22","1","/VDD_D","Default","TOP",71.0,-1.56,"SMT","TOP"
"W38","1","GND","Default","TOP",0.254,17.272,"SMT","TOP"
