Reference,X (mm),Y (mm),Rotation (°),Side,Type,Footprint,Pad Count,DNP
F5,50.882,26.890,180.0,Front,SMD,Fiducial_1mm_Mask2mm,1,No
X3,90.942,35.365,180.0,Front,SMD,XTALDFN200X160X70-4N,4,No
C57,100.512,37.970,0.0,Front,SMD,C_0402,2,No
D16,114.382,44.570,0.0,Front,SMD,ESDZV5H-1BU2,2,No
C13,90.117,33.415,90.0,Front,SMD,C_0402,2,Yes
C43,81.542,39.110,180.0,Front,SMD,C_0402,2,No
Rs1,19.112,43.710,-90.0,Front,SMD,R_0402,2,No
R25,101.900,35.900,90.0,Front,SMD,R_0402,2,Yes
J27,59.552,52.750,0.0,Front,NPTH,Castellated_pads_3mm,1,Yes
U3,24.380,36.315,-90.0,Front,SMD,SON40P200X200X80-11N,11,No
U344,71.089,41.647,0.0,Front,SMD,BGA100C80P10X10_800X800X110,100,No
C48,91.742,42.840,-90.0,Front,SMD,C_0402,2,No
L7,100.162,41.370,0.0,Front,SMD,CKP2012N2R2M-T,2,No
U19,71.162,34.440,90.0,Front,SMD,LSM6DSLTR,14,No
R15,77.022,46.295,180.0,Front,SMD,R_0402,2,No
C23,23.189,42.026,180.0,Front,SMD,C_0402,2,No
J1,85.472,53.890,90.0,Front,SMD,Test_Point_0.75mmby2.75mm_SMD_Tiny,1,Yes
C81,74.122,35.250,90.0,Front,SMD,C_0402,2,No
D24,111.100,42.771,0.0,Front,SMD,ESDZV5H-1BU2,2,No
R10,78.862,53.200,180.0,Front,SMD,R_0402,2,No
C24,64.889,35.647,-90.0,Front,SMD,C_0402,2,Yes
C19,75.612,47.600,0.0,Front,SMD,GRM188R61A226ME15D,2,No
T6,107.962,56.270,90.0,Back,SMD,Tab,0,Yes
C25,74.122,33.590,90.0,Front,SMD,C_0402,2,No
C22,86.092,35.065,90.0,Front,SMD,C_0402,2,No
W59,81.762,43.870,0.0,Front,SMD,TestPoint_Square_0.5_SMD_Tiny,1,Yes
C76,89.310,47.861,180.0,Front,SMD,C_0402,2,No
C102,91.522,54.280,90.0,Front,SMD,C_0402,2,No
C47,99.212,38.400,-90.0,Front,SMD,C_0402,2,No
R38,104.192,37.700,180.0,Front,SMD,R_0402,2,No
L4,80.422,49.940,180.0,Front,SMD,CKP2012N2R2M-T,2,No
C16,87.142,35.065,90.0,Front,SMD,C_0402,2,No
U6,88.672,39.220,180.0,Front,SMD,QFN-50-1EP_4x6mm_P0.35mm_EP2.7x4.7mm_ESL,59,No
D22,110.762,48.771,0.0,Front,SMD,ESDZV5H-1BU2,2,No
R11,100.522,38.920,0.0,Front,SMD,R_0402,2,No
C38,65.042,41.680,0.0,Front,SMD,C_0402,2,No
R9,78.272,51.830,-90.0,Front,SMD,R_0402,2,No
C32,67.032,47.300,0.0,Front,SMD,C_0402,2,No
L10,100.112,47.690,0.0,Front,SMD,CKP2012N2R2M-T,2,No
W52,78.592,40.590,0.0,Front,SMD,TestPoint_Square_0.5_SMD_Tiny,1,Yes
W9,32.177,37.456,0.0,Front,SMD,TestPoint_Square_0.5_SMD_Tiny,1,Yes
W6,60.824,42.680,90.0,Front,SMD,Test_Point_0.8mmDia_SMD_Tiny,1,Yes
W11,60.912,34.650,180.0,Front,SMD,Test_Point_1.3mmDia_SMD_Tiny,1,Yes
J31,110.072,53.920,90.0,Front,SMD,Test_Point_0.75mmby2.75mm_SMD_Tiny,1,Yes
