Project,Halo3,,,,
HW Ver,1,,,,
Bom Ver,1,,,,
Date ,22-08-2025,,,,
,,,,,
Reference,Value,Footprint,Qty,DNP,mpn
"C1,C2,C15,C18,C46",4.7uF/10V,locallib:C_0402,5,,GRT155R61A475ME13D
"C3,C21,C78,C80",1uF,locallib:C_0402,4,,JMK105C6105KVHF
C4,10uF/10V,locallib:GRM188R61A106KE69D,1,,GRM188R61A106KE69D
"C5,C6,C11,C14,C16,C17,C22,C41,C48,C51,C52,C56,C68,C69,C106",1uF/10V,locallib:C_0402,15,,GRT155R61A105KE01J
"C7,C23,C25,C30,C31,C32,C35,C40,C45,C60,C64,C67,C76,C81,C85,C98,C101,C102,C103",100nF,locallib:C_0402,19,,CC0402KRX5R5BB104
"C8,C43",2.2uF/16V,locallib:C_0402,2,,GRT155R61C225KE13D
"C9,C10",100nF/10V,locallib:C_0402,2,,CC0402KRX5R5BB104
"C12,C13",8pF,locallib:C_0402,2,DNP,GJM1555C1H8R0WB01
"C19,C28",22uF/10V,locallib:GRM188R61A226ME15D,2,,GRM188R61A226ME15D
"C20,C24",8.2pF,locallib:C_0402,2,,CC0402DRNPO9BN8R2
"C26,C27",12pF,locallib:C_0402,2,,CC0402JRNPO9BN120
"C29,C42,C111",100nF,locallib:C_0402,3,DNP,CC0402KRX5R5BB104
"C33,C37",10uF/10V,locallib:GRM188R61A106KE69D,2,,GRM188R61A106ME69D
C34,6.8pF,locallib:C_0402,1,,C0402C689C5HACTU
"C36,C39",2.2uF,locallib:C_0402,2,,JMK105BJ225KV-F
C38,330nF,locallib:C_0402,1,,CC0402KRX5R5BB334
"C44,C57",1.3pF/50V,locallib:C_0402,2,,GJM1555C1H1R3BB01D
C47,0.6pF/50V,locallib:C_0402,1,,GJM1555C1HR60WB01
C49,1uF/25V,Capacitor_SMD:C_0603_1608Metric,1,,GMC10X5R105K25NT
C50,10uF/10V,Capacitor_SMD:C_0603_1608Metric,1,,GRM188R61A106ME69D
"C53,C58",1pF,locallib:C_0402,2,DNP,GJM1551C1H1R0BB01D
C75,10uF,locallib:C_0603_1608Metric,1,,GRM188R61A106ME69D
C95,0.3pF,locallib:C_0402,1,DNP,CBR02C308B8GAC
"C99,C100,C104,C105",680pF/6.3V,locallib:C_0402,4,,VJ0402Y681JXQCW1BC
"D1,D2,D3,D6,D9",ESD_ST_ESDZV5H_1BU2,locallib:ESDZV5H-1BU2,5,DNP,ESDZV5H-1BU2
"D4,D5,D16,D20,D21,D22,D23,D24,D25,D26",ESD_ST_ESDZV5H_1BU2,locallib:ESDZV5H-1BU2,10,,ESDZV5H-1BU2
D27,155124M173200,locallib:155124M173200,1,,155124M173200
"F1,F2,F3,F4,F5,F6",Fiducial,locallib:Fiducial_1mm_Mask2mm,6,,
FL2,HS5524EB06,locallib:QPQ1907,1,,HS5524EB06
J8,BM02B-ACHSS-GAN-ETFLFSN,locallib:BM02B-ACHSS-GAN-ETFLFSN,1,,BM02B-ACHSS-GAN-ETFLFSN
J9,2305018-2,locallib:TE_2305018-2_MountingHole_0.4mm,1,,2305018-2
J12,BM03B-ACHSS-GAN-ETF,locallib:BM03B-ACHSS-GAN-ETF,1,,BM03B-ACHSS-GAN-ETF
J23,KH-IPEX4-2020,locallib:KH-IPEX4-2020,1,DNP,KH-IPEX4-2020
"L1,L7,L10,L11",10UH 250MA 1.05OHM,locallib:CKP2012N2R2M-T,4,,MLZ1608M100WT000
"L2,L3",Ferrite_Bead,locallib:BKP1005HS100-T,2,,MPZ1005S100CT000
L4,2.2uH/0.5A/1MHz,locallib:CKP2012N2R2M-T,1,,MLP2012H2R2MT0S1
L5,BLM15AG601SN1D,locallib:BEADC1005X55N,1,,BLM15AG601SN1D
"L6,L23",2.2uH/0.75A/1MHz,locallib:CKP2012N2R2M-T,2,,ZBWM252010C32R2MS
L12,2.7nH,locallib:L_0402_0201,1,,LQP03TN2N7B02
"L17,L18",5.6nH,locallib:L_0402_0201,2,DNP,LQG15HS5N6B02D
"R1,R12,R25,R29",0,locallib:R_0402,4,DNP,RC0402FR-070RL
"R2,R4",1M,locallib:R_0402,2,,RC0402FR-071ML
"R3,R17",330,locallib:R_0402,2,,RC0402JR-07330RL
R5,22K,locallib:R_0402,1,,RC0402FR-0722KL
"R6,R7,R26",22K,locallib:R_0402,3,DNP,RC0402FR-0722KL
R8,22k,locallib:R_0402,1,,RC0402FR-0722KL
"R9,R40",215K,locallib:R_0402,2,,RC0402FR-07215KL
R10,100K,locallib:R_0402,1,,RC0402FR-07100KL
"R11,R21,R23,R28,R34,R38",0,locallib:R_0402,6,,RC0402FR-070RL
"R15,R31",100k,locallib:R_0402,2,,RC0402FR-07100KL
"R16,R33",510k,locallib:R_0402,2,,RC0402FR-07510KL
R37,500,locallib:R_0402,1,,RC0402JR-07500RL
R41,1.8K,locallib:R_0402,1,,RC0402FR-071K8L
R49,680,locallib:R_0402,1,,RC0402JR-07680RL
R51,2K,locallib:R_0402,1,,RC0402JR-072KL
R52,249K,locallib:R_0402,1,DNP,RC0402FR-07249KL 
"R78,R79",2.2K,locallib:R_0402,2,,RC0402FR-072K2L
Rs1,10m/0.0625W,locallib:R_0402,1,,ERJ-2LWJR010X
Rs2,10m/0.0625W,locallib:R_0402,1,DNP,ERJ-2LWJR010X
U1,74AUP1G14DRY,locallib:PSON50P145X100X60-6N,1,,SN74AUP1G14DRYR
U2,74LVC1G17,locallib:PSON50P145X100X60-6N,1,,SN74LVC1G17QDRYRQ1
U3,BQ24040DSQR,locallib:SON40P200X200X80-11N,1,,BQ24040DSQR
U5,INA199A1DCKR,locallib:SOT65P210X110-6N,1,,INA199A1DCKR
U6,RTL8763EAU_QFN50,locallib:QFN-50-1EP_4x6mm_P0.35mm_EP2.7x4.7mm_ESL,1,,RTL8763EAU
U8,TLV62568DRLR,locallib:SOT50P160X60-6N,1,,TLV62568DRLR
